CustomerId,Segment
15634602,0
15647311,3
15619304,1
15701354,3
15737888,0
15574012,2
15592531,1
15656148,1
15792365,3
15592389,0
15767821,3
15737173,1
15632264,1
15691483,3
15600882,1
15643966,3
15737452,2
15788218,1
15661507,3
15568982,1
15577657,1
15597945,1
15699309,2
15725737,3
15625047,0
15738191,3
15736816,0
15700772,3
15728693,0
15656300,1
15589475,1
15706552,3
15750181,3
15659428,1
15732963,1
15794171,2
15788448,3
15729599,3
15717426,0
15585768,3
15619360,2
15738148,3
15687946,0
15755196,3
15684171,0
15754849,0
15602280,0
15771573,0
15766205,3
15771873,2
15616550,2
15768193,3
15683553,3
15702298,3
15569590,2
15760861,0
15630053,2
15647091,3
15623944,2
15804771,0
15651280,3
15773469,3
15702014,3
15751208,0
15592461,0
15789484,0
15696061,2
15641582,0
15638424,3
15755648,2
15703793,1
15620344,2
15812518,3
15779052,0
15770811,3
15780961,2
15614049,1
15662085,0
15575185,3
15803136,2
15706021,3
15663706,2
15641732,3
15701164,0
15738751,1
15805254,1
15762418,2
15625759,1
15622897,1
15767954,0
15757535,1
15731511,2
15809248,1
15640635,1
15676966,3
15699461,3
15738721,3
15693683,0
15604348,3
15633059,3
15808582,0
15743192,3
15580146,2
15776605,1
15804919,0
15613854,0
15599195,0
15812878,3
15602312,3
15744689,2
15803526,3
15665790,2
15715951,3
15591100,3
15609618,3
15675522,0
15705512,2
15698028,1
15661670,2
15600781,2
15682472,3
15580203,3
15690673,1
15760085,0
15779659,3
15627360,2
15671137,3
15782688,2
15575492,1
15591607,2
15740404,1
15718369,0
15677871,0
15642004,3
15712543,0
15584518,0
15802381,3
15610156,3
15594408,2
15640905,3
15698932,2
15724944,1
15628145,0
15713483,2
15612350,2
15800703,0
15705707,2
15754105,3
15703264,2
15794413,3
15650237,1
15759618,2
15811589,1
15689044,2
15709368,1
15679145,2
15655007,3
15623595,1
15589975,3
15804017,3
15692132,3
15641122,1
15630910,3
15680772,1
15658929,2
15585388,0
15724623,2
15588537,2
15574692,1
15611325,3
15587562,2
15613172,2
15651022,2
15586310,2
15625524,1
15755209,0
15645248,1
15790355,3
15762615,3
15625426,2
15716334,0
15789669,1
15621075,2
15810845,1
15719377,0
15654506,1
15771977,2
15708710,3
15726676,3
15587421,2
15726931,3
15771086,2
15756850,3
15702741,2
15679200,1
15594815,0
15635905,1
15777892,0
15656176,1
15811127,2
15604482,0
15622911,3
15600974,3
15727868,0
15627801,2
15773039,0
15755262,3
15679531,0
15684181,2
15612087,3
15752047,2
15624592,1
15573152,3
15594917,0
15785542,3
15723488,3
15680920,2
15786308,3
15659366,2
15774854,0
15725311,0
15787155,3
15727829,1
15733247,2
15568748,0
15699029,2
15774393,1
15676895,1
15637753,2
15605461,2
15808473,3
15627000,1
15787174,3
15723886,3
15704769,3
15772896,2
15711540,0
15764866,1
15794056,1
15795149,3
15812009,1
15651001,2
15813844,3
15596175,0
15576269,1
15797219,2
15685500,2
15599792,1
15657566,0
15772423,2
15628112,3
15753754,1
15793726,3
15694717,0
15665834,3
15765297,3
15636684,1
15592979,3
15750803,0
15607178,0
15713853,0
15673481,2
15686776,2
15673693,3
15700696,0
15813163,2
15653857,1
15777076,1
15717398,3
15799217,2
15787071,3
15619955,1
15796505,0
15725166,1
15800116,3
15758685,1
15694456,0
15767339,1
15683562,3
15782210,2
15668893,1
15669169,1
